RECORDING_SESSION_LABEL,TRIAL_INDEX,EYE_USED,CURRENT_FIX_INDEX,CURRENT_FIX_START,CURRENT_FIX_END,CURRENT_FIX_DURATION,CURRENT_FIX_X,CURRENT_FIX_X_RESOLUTION,CURRENT_FIX_Y,CURRENT_FIX_Y_RESOLUTION,NEXT_FIX_DIRECTION,NEXT_FIX_DISTANCE,NEXT_FIX_START,NEXT_FIX_END,NEXT_FIX_DURATION,NEXT_FIX_X,NEXT_FIX_X_RESOLUTION,NEXT_FIX_Y,NEXT_FIX_Y_RESOLUTION,PREVIOUS_FIX_DIRECTION,PREVIOUS_FIX_DISTANCE,PREVIOUS_FIX_START,PREVIOUS_FIX_END,PREVIOUS_FIX_DURATION,PREVIOUS_FIX_X,PREVIOUS_FIX_X_RESOLUTION,PREVIOUS_FIX_Y,PREVIOUS_FIX_Y_RESOLUTION
7,1,RIGHT,1,7,334,328,337.3,31.5,168.5,41.6,LEFT,7.79,390,493,104,96.6,32.8,78.6,42.45,.,.,.,.,.,.,.,.,.
7,1,RIGHT,2,390,493,104,96.6,32.8,78.6,42.45,RIGHT,1.56,529,717,189,140.9,32.6,45.4,42.3,RIGHT,7.79,7,334,328,337.3,31.5,168.5,41.6
7,1,RIGHT,3,529,717,189,140.9,32.6,45.4,42.3,RIGHT,3.12,760,1056,297,241,31.95,60.9,41.9,LEFT,1.56,390,493,104,96.6,32.8,78.6,42.45
7,1,RIGHT,4,760,1056,297,241,31.95,60.9,41.9,RIGHT,3.53,1086,1363,278,352.9,31.5,51.2,41.6,LEFT,3.12,529,717,189,140.9,32.6,45.4,42.3
7,1,RIGHT,5,1086,1363,278,352.9,31.5,51.2,41.6,LEFT,2.8,1407,1705,299,264.4,31.85,46.1,41.8,LEFT,3.53,760,1056,297,241,31.95,60.9,41.9
7,1,RIGHT,6,1407,1705,299,264.4,31.85,46.1,41.8,RIGHT,0.67,1731,1941,211,285.6,31.7,45.6,41.7,RIGHT,2.8,1086,1363,278,352.9,31.5,51.2,41.6
7,1,RIGHT,7,1731,1941,211,285.6,31.7,45.6,41.7,RIGHT,1.12,1976,2110,135,321,31.6,50.2,41.65,LEFT,0.67,1407,1705,299,264.4,31.85,46.1,41.8
7,1,RIGHT,8,1976,2110,135,321,31.6,50.2,41.65,RIGHT,1.81,2135,2306,172,377.9,31.4,52.8,41.5,LEFT,1.12,1731,1941,211,285.6,31.7,45.6,41.7
7,1,RIGHT,9,2135,2306,172,377.9,31.4,52.8,41.5,RIGHT,2.45,2334,2505,172,454.5,31.3,48,41.45,LEFT,1.81,1976,2110,135,321,31.6,50.2,41.65
7,1,RIGHT,10,2334,2505,172,454.5,31.3,48,41.45,RIGHT,2.4,2544,2735,192,529.3,31.2,52.2,41.4,LEFT,2.45,2135,2306,172,377.9,31.4,52.8,41.5
7,1,RIGHT,11,2544,2735,192,529.3,31.2,52.2,41.4,RIGHT,1.96,2855,3125,271,590.4,31.3,48.9,41.45,LEFT,2.4,2334,2505,172,454.5,31.3,48,41.45
7,1,RIGHT,12,2855,3125,271,590.4,31.3,48.9,41.45,RIGHT,1.78,3153,3337,185,645.7,31.45,37.6,41.6,LEFT,1.96,2544,2735,192,529.3,31.2,52.2,41.4
7,1,RIGHT,13,3153,3337,185,645.7,31.45,37.6,41.6,RIGHT,2.59,3364,3719,356,727.5,31.7,32.1,41.8,LEFT,1.78,2855,3125,271,590.4,31.3,48.9,41.45
7,1,RIGHT,14,3364,3719,356,727.5,31.7,32.1,41.8,RIGHT,1.24,3742,3917,176,766.9,31.95,27.8,41.9,LEFT,2.59,3153,3337,185,645.7,31.45,37.6,41.6
7,1,RIGHT,15,3742,3917,176,766.9,31.95,27.8,41.9,LEFT,1.41,3939,4198,260,722.1,31.7,27.2,41.7,LEFT,1.24,3364,3719,356,727.5,31.7,32.1,41.8
7,1,RIGHT,16,3939,4198,260,722.1,31.7,27.2,41.7,RIGHT,2.03,4226,4384,159,786.6,32.05,31.8,41.95,RIGHT,1.41,3742,3917,176,766.9,31.95,27.8,41.9
7,1,RIGHT,17,4226,4384,159,786.6,32.05,31.8,41.95,RIGHT,2.05,4411,4500,90,852.1,32.45,42,42.25,LEFT,2.03,3939,4198,260,722.1,31.7,27.2,41.7
7,1,RIGHT,18,4411,4500,90,852.1,32.45,42,42.25,RIGHT,1.42,4669,4835,167,897.1,32.75,27.2,42.45,LEFT,2.05,4226,4384,159,786.6,32.05,31.8,41.95
7,1,RIGHT,19,4669,4835,167,897.1,32.75,27.2,42.45,.,0.08,4847,4977,131,898.1,32.75,30.2,42.4,LEFT,1.42,4411,4500,90,852.1,32.45,42,42.25
7,1,RIGHT,20,4847,4977,131,898.1,32.75,30.2,42.4,LEFT,1.85,5004,5412,409,838,32.3,31.4,42.1,.,0.08,4669,4835,167,897.1,32.75,27.2,42.45
7,1,RIGHT,21,5004,5412,409,838,32.3,31.4,42.1,RIGHT,3.56,5474,5582,109,953.8,33.15,14.2,42.7,RIGHT,1.85,4847,4977,131,898.1,32.75,30.2,42.4
7,1,RIGHT,22,5474,5582,109,953.8,33.15,14.2,42.7,LEFT,24.05,5709,5766,58,166.6,32.4,65,42.2,LEFT,3.56,5004,5412,409,838,32.3,31.4,42.1
7,1,RIGHT,23,5709,5766,58,166.6,32.4,65,42.2,LEFT,2.93,5813,5941,129,72.4,33.05,87.3,42.6,RIGHT,24.05,5474,5582,109,953.8,33.15,14.2,42.7
7,1,RIGHT,24,5813,5941,129,72.4,33.05,87.3,42.6,.,0.44,5953,6180,228,57.9,33.3,88.7,42.75,RIGHT,2.93,5709,5766,58,166.6,32.4,65,42.2
7,1,RIGHT,25,5953,6180,228,57.9,33.3,88.7,42.75,RIGHT,3,6210,6413,204,156.3,32.5,80.7,42.2,.,0.44,5813,5941,129,72.4,33.05,87.3,42.6
7,1,RIGHT,26,6210,6413,204,156.3,32.5,80.7,42.2,LEFT,1.41,6439,6594,156,110.6,32.85,86.5,42.45,LEFT,3,5953,6180,228,57.9,33.3,88.7,42.75
7,1,RIGHT,27,6439,6594,156,110.6,32.85,86.5,42.45,RIGHT,3.51,6624,6889,266,224.5,32.05,88,41.9,RIGHT,1.41,6210,6413,204,156.3,32.5,80.7,42.2
7,1,RIGHT,28,6624,6889,266,224.5,32.05,88,41.9,LEFT,0.73,6901,7083,183,200.9,32.2,88.8,42,LEFT,3.51,6439,6594,156,110.6,32.85,86.5,42.45
7,1,RIGHT,29,6901,7083,183,200.9,32.2,88.8,42,RIGHT,2.83,7113,7346,234,291.4,31.7,91.2,41.7,RIGHT,0.73,6624,6889,266,224.5,32.05,88,41.9
7,1,RIGHT,30,7113,7346,234,291.4,31.7,91.2,41.7,RIGHT,0.83,7483,7657,175,317.3,31.6,96.1,41.6,LEFT,2.83,6901,7083,183,200.9,32.2,88.8,42
7,1,RIGHT,31,7483,7657,175,317.3,31.6,96.1,41.6,RIGHT,2.24,7699,8059,361,387.4,31.4,105.7,41.5,LEFT,0.83,7113,7346,234,291.4,31.7,91.2,41.7
7,1,RIGHT,32,7699,8059,361,387.4,31.4,105.7,41.5,RIGHT,3.47,8104,8454,351,496.1,31.2,107.4,41.4,LEFT,2.24,7483,7657,175,317.3,31.6,96.1,41.6
7,1,RIGHT,33,8104,8454,351,496.1,31.2,107.4,41.4,RIGHT,1.02,8479,8632,154,527.7,31.2,102.1,41.4,LEFT,3.47,7699,8059,361,387.4,31.4,105.7,41.5
7,1,RIGHT,34,8479,8632,154,527.7,31.2,102.1,41.4,RIGHT,2.65,8661,8946,286,610.1,31.3,91.4,41.45,LEFT,1.02,8104,8454,351,496.1,31.2,107.4,41.4
7,1,RIGHT,35,8661,8946,286,610.1,31.3,91.4,41.45,RIGHT,2.29,8986,9350,365,681.8,31.5,85.8,41.6,LEFT,2.65,8479,8632,154,527.7,31.2,102.1,41.4
7,1,RIGHT,36,8986,9350,365,681.8,31.5,85.8,41.6,RIGHT,2.86,9378,9693,316,772.6,31.9,86.1,41.85,LEFT,2.29,8661,8946,286,610.1,31.3,91.4,41.45
7,1,RIGHT,37,9378,9693,316,772.6,31.9,86.1,41.85,RIGHT,1.4,9717,9888,172,817.6,32.2,86.9,42,LEFT,2.86,8986,9350,365,681.8,31.5,85.8,41.6
7,1,RIGHT,38,9717,9888,172,817.6,32.2,86.9,42,RIGHT,1.99,9931,10213,283,882.1,32.6,85.8,42.3,LEFT,1.4,9378,9693,316,772.6,31.9,86.1,41.85
7,1,RIGHT,39,9931,10213,283,882.1,32.6,85.8,42.3,RIGHT,1.86,10356,10420,65,942.5,33.1,98.3,42.6,LEFT,1.99,9717,9888,172,817.6,32.2,86.9,42
7,1,RIGHT,40,10356,10420,65,942.5,33.1,98.3,42.6,LEFT,24.59,10530,10601,72,135.1,32.6,135.7,42.3,LEFT,1.86,9931,10213,283,882.1,32.6,85.8,42.3
7,1,RIGHT,41,10530,10601,72,135.1,32.6,135.7,42.3,LEFT,2.01,10645,10958,314,69.3,33.05,138,42.55,RIGHT,24.59,10356,10420,65,942.5,33.1,98.3,42.6
7,1,RIGHT,42,10645,10958,314,69.3,33.05,138,42.55,RIGHT,2.23,10997,11393,397,142.3,32.6,142.3,42.25,RIGHT,2.01,10530,10601,72,135.1,32.6,135.7,42.3
7,1,RIGHT,43,10997,11393,397,142.3,32.6,142.3,42.25,RIGHT,2.94,11422,11665,244,237.2,31.9,145.7,41.8,LEFT,2.23,10645,10958,314,69.3,33.05,138,42.55
7,1,RIGHT,44,11422,11665,244,237.2,31.9,145.7,41.8,RIGHT,2.89,11694,12131,438,328.8,31.5,151.3,41.6,LEFT,2.94,10997,11393,397,142.3,32.6,142.3,42.25
7,1,RIGHT,45,11694,12131,438,328.8,31.5,151.3,41.6,RIGHT,3.82,12159,12330,172,448.8,31.3,144.7,41.4,LEFT,2.89,11422,11665,244,237.2,31.9,145.7,41.8
7,1,RIGHT,46,12159,12330,172,448.8,31.3,144.7,41.4,LEFT,0.75,12348,12502,155,425.4,31.3,140.5,41.4,LEFT,3.82,11694,12131,438,328.8,31.5,151.3,41.6
7,1,RIGHT,47,12348,12502,155,425.4,31.3,140.5,41.4,RIGHT,2.56,12541,12654,114,505.4,31.2,134.6,41.4,RIGHT,0.75,12159,12330,172,448.8,31.3,144.7,41.4
7,1,RIGHT,48,12541,12654,114,505.4,31.2,134.6,41.4,RIGHT,1.38,12807,13078,272,548.2,31.2,127.3,41.4,LEFT,2.56,12348,12502,155,425.4,31.3,140.5,41.4
7,1,RIGHT,49,12807,13078,272,548.2,31.2,127.3,41.4,RIGHT,1.81,13116,13386,271,604.7,31.3,124.6,41.4,LEFT,1.38,12541,12654,114,505.4,31.2,134.6,41.4
7,1,RIGHT,50,13116,13386,271,604.7,31.3,124.6,41.4,RIGHT,1.76,13411,13687,277,660,31.5,124.9,41.5,LEFT,1.81,12807,13078,272,548.2,31.2,127.3,41.4
7,1,RIGHT,51,13411,13687,277,660,31.5,124.9,41.5,RIGHT,2.5,13714,13988,275,739,31.7,120.2,41.7,LEFT,1.76,13116,13386,271,604.7,31.3,124.6,41.4
7,1,RIGHT,52,13714,13988,275,739,31.7,120.2,41.7,RIGHT,0.92,14008,14269,262,768.4,31.9,121.2,41.8,LEFT,2.5,13411,13687,277,660,31.5,124.9,41.5
7,1,RIGHT,53,14008,14269,262,768.4,31.9,121.2,41.8,RIGHT,3.83,14306,14524,219,892.1,32.65,116.6,42.3,LEFT,0.92,13714,13988,275,739,31.7,120.2,41.7
7,1,RIGHT,54,14306,14524,219,892.1,32.65,116.6,42.3,RIGHT,1.55,14549,14711,163,943,33.15,115.5,42.6,LEFT,3.83,14008,14269,262,768.4,31.9,121.2,41.8
7,1,RIGHT,55,14549,14711,163,943,33.15,115.5,42.6,LEFT,25.13,14808,14906,99,116.8,32.65,150.6,42.35,LEFT,1.55,14306,14524,219,892.1,32.65,116.6,42.3
7,1,RIGHT,56,14808,14906,99,116.8,32.65,150.6,42.35,LEFT,1.5,14929,15116,188,68.6,33.15,163.5,42.65,RIGHT,25.13,14549,14711,163,943,33.15,115.5,42.6
7,1,RIGHT,57,14929,15116,188,68.6,33.15,163.5,42.65,RIGHT,3.95,15145,15489,345,197.5,32.2,167.9,42,RIGHT,1.5,14808,14906,99,116.8,32.65,150.6,42.35
7,1,RIGHT,58,15145,15489,345,197.5,32.2,167.9,42,RIGHT,2.55,15658,15774,117,278.9,31.75,175.4,41.75,LEFT,3.95,14929,15116,188,68.6,33.15,163.5,42.65
7,1,RIGHT,59,15658,15774,117,278.9,31.75,175.4,41.75,RIGHT,1.09,15801,16011,211,313.2,31.6,179.6,41.6,LEFT,2.55,15145,15489,345,197.5,32.2,167.9,42
7,1,RIGHT,60,15801,16011,211,313.2,31.6,179.6,41.6,LEFT,7.14,16216,16432,217,82.5,33.05,190.7,42.6,LEFT,1.09,15658,15774,117,278.9,31.75,175.4,41.75
7,1,RIGHT,61,16216,16432,217,82.5,33.05,190.7,42.6,RIGHT,1.07,16455,16619,165,117.6,32.7,185.4,42.4,RIGHT,7.14,15801,16011,211,313.2,31.6,179.6,41.6
7,1,RIGHT,62,16455,16619,165,117.6,32.7,185.4,42.4,RIGHT,2.36,16657,16929,273,194.3,32.25,183.3,42.05,LEFT,1.07,16216,16432,217,82.5,33.05,190.7,42.6
7,1,RIGHT,63,16657,16929,273,194.3,32.25,183.3,42.05,RIGHT,4.55,16960,17141,182,339.2,31.5,180.1,41.6,LEFT,2.36,16455,16619,165,117.6,32.7,185.4,42.4
7,1,RIGHT,64,16960,17141,182,339.2,31.5,180.1,41.6,RIGHT,2.06,17169,17414,246,403.9,31.3,184.4,41.5,LEFT,4.55,16657,16929,273,194.3,32.25,183.3,42.05
7,1,RIGHT,65,17169,17414,246,403.9,31.3,184.4,41.5,RIGHT,3.57,17443,17919,477,515.6,31.2,182.5,41.4,LEFT,2.06,16960,17141,182,339.2,31.5,180.1,41.6
7,1,RIGHT,66,17443,17919,477,515.6,31.2,182.5,41.4,RIGHT,1.36,17945,18201,257,558.1,31.3,182.7,41.4,LEFT,3.57,17169,17414,246,403.9,31.3,184.4,41.5
