RECORDING_SESSION_LABEL,TRIAL_INDEX,EYE_USED,CURRENT_FIX_INDEX,CURRENT_FIX_START,CURRENT_FIX_END,CURRENT_FIX_DURATION,CURRENT_FIX_X,CURRENT_FIX_X_RESOLUTION,CURRENT_FIX_Y,CURRENT_FIX_Y_RESOLUTION,NEXT_FIX_DIRECTION,NEXT_FIX_DISTANCE,NEXT_FIX_START,NEXT_FIX_END,NEXT_FIX_DURATION,NEXT_FIX_X,NEXT_FIX_X_RESOLUTION,NEXT_FIX_Y,NEXT_FIX_Y_RESOLUTION,PREVIOUS_FIX_DIRECTION,PREVIOUS_FIX_DISTANCE,PREVIOUS_FIX_START,PREVIOUS_FIX_END,PREVIOUS_FIX_DURATION,PREVIOUS_FIX_X,PREVIOUS_FIX_X_RESOLUTION,PREVIOUS_FIX_Y,PREVIOUS_FIX_Y_RESOLUTION
21,1,LEFT,1,20,369,350,274.7,31.8,202.8,41.8,LEFT,6.87,420,585,166,78,33.1,66.3,42.65,.,.,.,.,.,.,.,.,.
21,1,LEFT,2,420,585,166,78,33.1,66.3,42.65,RIGHT,2.07,606,795,190,145.3,32.65,53.7,42.35,RIGHT,6.87,20,369,350,274.7,31.8,202.8,41.8
21,1,LEFT,3,606,795,190,145.3,32.65,53.7,42.35,LEFT,1.38,809,1126,318,100,32.95,52.5,42.5,LEFT,2.07,420,585,166,78,33.1,66.3,42.65
21,1,LEFT,4,809,1126,318,100,32.95,52.5,42.5,.,0.48,1143,1307,165,114.7,32.8,44.7,42.45,RIGHT,1.38,606,795,190,145.3,32.65,53.7,42.35
21,1,LEFT,5,1143,1307,165,114.7,32.8,44.7,42.45,RIGHT,1.55,1347,1492,146,165.2,32.45,47.9,42.2,.,0.48,809,1126,318,100,32.95,52.5,42.5
21,1,LEFT,6,1347,1492,146,165.2,32.45,47.9,42.2,LEFT,1.77,1518,1752,235,107.4,32.8,44,42.45,LEFT,1.55,1143,1307,165,114.7,32.8,44.7,42.45
21,1,LEFT,7,1518,1752,235,107.4,32.8,44,42.45,RIGHT,2.14,1775,2038,264,177,32.35,44.7,42.2,RIGHT,1.77,1347,1492,146,165.2,32.45,47.9,42.2
21,1,LEFT,8,1775,2038,264,177,32.35,44.7,42.2,RIGHT,2.54,2062,2264,203,258.6,31.95,47.4,41.85,LEFT,2.14,1518,1752,235,107.4,32.8,44,42.45
21,1,LEFT,9,2062,2264,203,258.6,31.95,47.4,41.85,RIGHT,2.02,2286,2447,162,322.7,31.6,47.8,41.7,LEFT,2.54,1775,2038,264,177,32.35,44.7,42.2
21,1,LEFT,10,2286,2447,162,322.7,31.6,47.8,41.7,RIGHT,3.28,2472,2578,107,425.7,31.3,41.9,41.5,LEFT,2.02,2062,2264,203,258.6,31.95,47.4,41.85
21,1,LEFT,11,2472,2578,107,425.7,31.3,41.9,41.5,LEFT,1.87,2597,2904,308,367,31.4,43.3,41.6,LEFT,3.28,2286,2447,162,322.7,31.6,47.8,41.7
21,1,LEFT,12,2597,2904,308,367,31.4,43.3,41.6,RIGHT,2.68,2929,3137,209,451,31.3,43.9,41.5,RIGHT,1.87,2472,2578,107,425.7,31.3,41.9,41.5
21,1,LEFT,13,2929,3137,209,451,31.3,43.9,41.5,RIGHT,3.19,3170,3377,208,550.9,31.3,46.4,41.45,LEFT,2.68,2597,2904,308,367,31.4,43.3,41.6
21,1,LEFT,14,3170,3377,208,550.9,31.3,46.4,41.45,RIGHT,2.43,3405,3745,341,627,31.4,50.8,41.5,LEFT,3.19,2929,3137,209,451,31.3,43.9,41.5
21,1,LEFT,15,3405,3745,341,627,31.4,50.8,41.5,RIGHT,3.11,3777,4311,535,725.2,31.7,48.2,41.7,LEFT,2.43,3170,3377,208,550.9,31.3,46.4,41.45
21,1,LEFT,16,3777,4311,535,725.2,31.7,48.2,41.7,RIGHT,2.12,4334,4505,172,792.6,32,52,41.9,LEFT,3.11,3405,3745,341,627,31.4,50.8,41.5
21,1,LEFT,17,4334,4505,172,792.6,32,52,41.9,LEFT,0.88,4521,4776,256,764.8,31.9,45.6,41.85,LEFT,2.12,3777,4311,535,725.2,31.7,48.2,41.7
21,1,LEFT,18,4521,4776,256,764.8,31.9,45.6,41.85,RIGHT,1.89,4799,5059,261,825.2,32.2,51.1,42.05,RIGHT,0.88,4334,4505,172,792.6,32,52,41.9
