RECORDING_SESSION_LABEL,TRIAL_INDEX,EYE_USED,CURRENT_FIX_INDEX,CURRENT_FIX_START,CURRENT_FIX_END,CURRENT_FIX_DURATION,CURRENT_FIX_X,CURRENT_FIX_X_RESOLUTION,CURRENT_FIX_Y,CURRENT_FIX_Y_RESOLUTION,NEXT_FIX_DIRECTION,NEXT_FIX_DISTANCE,NEXT_FIX_START,NEXT_FIX_END,NEXT_FIX_DURATION,NEXT_FIX_X,NEXT_FIX_X_RESOLUTION,NEXT_FIX_Y,NEXT_FIX_Y_RESOLUTION,PREVIOUS_FIX_DIRECTION,PREVIOUS_FIX_DISTANCE,PREVIOUS_FIX_START,PREVIOUS_FIX_END,PREVIOUS_FIX_DURATION,PREVIOUS_FIX_X,PREVIOUS_FIX_X_RESOLUTION,PREVIOUS_FIX_Y,PREVIOUS_FIX_Y_RESOLUTION
4,1,RIGHT,1,110,296,187,203,32.1,118.8,41.9,LEFT,3.86,323,486,164,79.5,32.9,89.9,42.5,.,.,.,.,.,.,.,.,.
4,1,RIGHT,2,323,486,164,79.5,32.9,89.9,42.5,RIGHT,8.53,539,791,253,302.6,31.7,301.1,41.8,RIGHT,3.86,110,296,187,203,32.1,118.8,41.9
4,1,RIGHT,3,539,791,253,302.6,31.7,301.1,41.8,UP,0.56,803,881,79,314.9,31.6,284.2,41.75,LEFT,8.53,323,486,164,79.5,32.9,89.9,42.5
4,1,RIGHT,4,803,881,79,314.9,31.6,284.2,41.75,UP,1.05,1088,1152,65,323.4,31.55,241.8,41.7,DOWN,0.56,539,791,253,302.6,31.7,301.1,41.8
4,1,RIGHT,5,1088,1152,65,323.4,31.55,241.8,41.7,DOWN,3.59,1180,1376,197,299.8,31.75,388.6,42,DOWN,1.05,803,881,79,314.9,31.6,284.2,41.75
4,1,RIGHT,6,1180,1376,197,299.8,31.75,388.6,42,UP,9.09,1539,1658,120,174,32.25,44.1,42.1,UP,3.59,1088,1152,65,323.4,31.55,241.8,41.7
4,1,RIGHT,7,1539,1658,120,174,32.25,44.1,42.1,LEFT,2.44,1683,1842,160,94.7,32.85,38.9,42.5,DOWN,9.09,1180,1376,197,299.8,31.75,388.6,42
4,1,RIGHT,8,1683,1842,160,94.7,32.85,38.9,42.5,RIGHT,0.98,1861,2302,442,125.6,32.6,27.8,42.3,RIGHT,2.44,1539,1658,120,174,32.25,44.1,42.1
4,1,RIGHT,9,1861,2302,442,125.6,32.6,27.8,42.3,RIGHT,1.15,2913,3248,336,163,32.35,27.2,42.15,LEFT,0.98,1683,1842,160,94.7,32.85,38.9,42.5
4,1,RIGHT,10,2913,3248,336,163,32.35,27.2,42.15,RIGHT,1.47,3266,3418,153,210.2,32.05,27.9,42,LEFT,1.15,1861,2302,442,125.6,32.6,27.8,42.3
