RECORDING_SESSION_LABEL,TRIAL_INDEX,EYE_USED,CURRENT_FIX_INDEX,CURRENT_FIX_START,CURRENT_FIX_END,CURRENT_FIX_DURATION,CURRENT_FIX_X,CURRENT_FIX_X_RESOLUTION,CURRENT_FIX_Y,CURRENT_FIX_Y_RESOLUTION,NEXT_FIX_DIRECTION,NEXT_FIX_DISTANCE,NEXT_FIX_START,NEXT_FIX_END,NEXT_FIX_DURATION,NEXT_FIX_X,NEXT_FIX_X_RESOLUTION,NEXT_FIX_Y,NEXT_FIX_Y_RESOLUTION,PREVIOUS_FIX_DIRECTION,PREVIOUS_FIX_DISTANCE,PREVIOUS_FIX_START,PREVIOUS_FIX_END,PREVIOUS_FIX_DURATION,PREVIOUS_FIX_X,PREVIOUS_FIX_X_RESOLUTION,PREVIOUS_FIX_Y,PREVIOUS_FIX_Y_RESOLUTION
2,1,RIGHT,1,7,81,75,380.6,31.4,212.8,41.5,RIGHT,5.54,135,512,378,554.2,31.3,214.4,41.4,.,.,.,.,.,.,.,.,.
2,1,RIGHT,2,135,512,378,554.2,31.3,214.4,41.4,LEFT,12.07,570,777,208,184.7,32.2,81.6,42.05,LEFT,5.54,7,81,75,380.6,31.4,212.8,41.5
2,1,RIGHT,3,570,777,208,184.7,32.2,81.6,42.05,LEFT,1.77,797,1092,296,132.9,32.6,49.1,42.3,RIGHT,12.07,135,512,378,554.2,31.3,214.4,41.4
2,1,RIGHT,4,797,1092,296,132.9,32.6,49.1,42.3,RIGHT,2.25,1117,1445,329,205.7,32.1,44,42,RIGHT,1.77,570,777,208,184.7,32.2,81.6,42.05
2,1,RIGHT,5,1117,1445,329,205.7,32.1,44,42,.,0.37,1454,1617,164,193.9,32.2,45.7,42,LEFT,2.25,797,1092,296,132.9,32.6,49.1,42.3
2,1,RIGHT,6,1454,1617,164,193.9,32.2,45.7,42,RIGHT,1.61,1640,1902,263,245.6,31.9,47.7,41.9,.,0.37,1117,1445,329,205.7,32.1,44,42
2,1,RIGHT,7,1640,1902,263,245.6,31.9,47.7,41.9,RIGHT,2.07,1938,2273,336,311.4,31.65,50.9,41.7,LEFT,1.61,1454,1617,164,193.9,32.2,45.7,42
2,1,RIGHT,8,1938,2273,336,311.4,31.65,50.9,41.7,RIGHT,4.81,2926,3224,299,462.5,31.3,41.8,41.5,LEFT,2.07,1640,1902,263,245.6,31.9,47.7,41.9
2,1,RIGHT,9,2926,3224,299,462.5,31.3,41.8,41.5,LEFT,0.88,3239,3583,345,434.8,31.3,41.9,41.5,LEFT,4.81,1938,2273,336,311.4,31.65,50.9,41.7
2,1,RIGHT,10,3239,3583,345,434.8,31.3,41.9,41.5,RIGHT,0.92,3604,3870,267,463.5,31.3,44.6,41.45,RIGHT,0.88,2926,3224,299,462.5,31.3,41.8,41.5
2,1,RIGHT,11,3604,3870,267,463.5,31.3,44.6,41.45,RIGHT,2.16,3906,4274,369,531.1,31.2,46.9,41.4,LEFT,0.92,3239,3583,345,434.8,31.3,41.9,41.5
2,1,RIGHT,12,3906,4274,369,531.1,31.2,46.9,41.4,RIGHT,2.98,4313,4582,270,624.5,31.4,45.1,41.5,LEFT,2.16,3604,3870,267,463.5,31.3,44.6,41.45
2,1,RIGHT,13,4313,4582,270,624.5,31.4,45.1,41.5,RIGHT,1.53,4607,4871,265,672.4,31.5,48.9,41.6,LEFT,2.98,3906,4274,369,531.1,31.2,46.9,41.4
2,1,RIGHT,14,4607,4871,265,672.4,31.5,48.9,41.6,RIGHT,1.78,5015,5320,306,728.5,31.75,45.6,41.8,LEFT,1.53,4313,4582,270,624.5,31.4,45.1,41.5
2,1,RIGHT,15,5015,5320,306,728.5,31.75,45.6,41.8,LEFT,0.81,5333,5634,302,702.7,31.6,45.2,41.7,LEFT,1.78,4607,4871,265,672.4,31.5,48.9,41.6
2,1,RIGHT,16,5333,5634,302,702.7,31.6,45.2,41.7,RIGHT,2.89,5674,5860,187,794.8,32.1,43.8,42,RIGHT,0.81,5015,5320,306,728.5,31.75,45.6,41.8
2,1,RIGHT,17,5674,5860,187,794.8,32.1,43.8,42,LEFT,1.03,5882,6160,279,762.1,31.9,48.8,41.9,LEFT,2.89,5333,5634,302,702.7,31.6,45.2,41.7
2,1,RIGHT,18,5882,6160,279,762.1,31.9,48.8,41.9,RIGHT,2.17,6187,6470,284,831.5,32.3,54.5,42.15,RIGHT,1.03,5674,5860,187,794.8,32.1,43.8,42
2,1,RIGHT,19,6187,6470,284,831.5,32.3,54.5,42.15,RIGHT,1.09,6492,6816,325,866.7,32.55,55.4,42.3,LEFT,2.17,5882,6160,279,762.1,31.9,48.8,41.9
2,1,RIGHT,20,6492,6816,325,866.7,32.55,55.4,42.3,RIGHT,1.99,6862,7048,187,929.3,33.05,31.9,42.6,LEFT,1.09,6187,6470,284,831.5,32.3,54.5,42.15
2,1,RIGHT,21,6862,7048,187,929.3,33.05,31.9,42.6,.,0.07,7059,7132,74,929.5,33,34.9,42.6,LEFT,1.99,6492,6816,325,866.7,32.55,55.4,42.3
2,1,RIGHT,22,7059,7132,74,929.5,33,34.9,42.6,RIGHT,2.06,7157,7305,149,994.8,33.5,8.8,43,.,0.07,6862,7048,187,929.3,33.05,31.9,42.6
2,1,RIGHT,23,7157,7305,149,994.8,33.5,8.8,43,LEFT,24.92,7403,7525,123,176.6,32.3,77.1,42.1,LEFT,2.06,7059,7132,74,929.5,33,34.9,42.6
