RECORDING_SESSION_LABEL,TRIAL_INDEX,EYE_USED,CURRENT_FIX_INDEX,CURRENT_FIX_START,CURRENT_FIX_END,CURRENT_FIX_DURATION,CURRENT_FIX_X,CURRENT_FIX_X_RESOLUTION,CURRENT_FIX_Y,CURRENT_FIX_Y_RESOLUTION,NEXT_FIX_DIRECTION,NEXT_FIX_DISTANCE,NEXT_FIX_START,NEXT_FIX_END,NEXT_FIX_DURATION,NEXT_FIX_X,NEXT_FIX_X_RESOLUTION,NEXT_FIX_Y,NEXT_FIX_Y_RESOLUTION,PREVIOUS_FIX_DIRECTION,PREVIOUS_FIX_DISTANCE,PREVIOUS_FIX_START,PREVIOUS_FIX_END,PREVIOUS_FIX_DURATION,PREVIOUS_FIX_X,PREVIOUS_FIX_X_RESOLUTION,PREVIOUS_FIX_Y,PREVIOUS_FIX_Y_RESOLUTION
16,1,LEFT,1,7,151,145,268.2,31.9,302,41.9,RIGHT,4.32,195,478,284,379,31.4,407.3,41.5,.,.,.,.,.,.,.,.,.
16,1,LEFT,2,195,478,284,379,31.4,407.3,41.5,UP,10.51,528,587,60,155.1,32.5,79.7,42.2,LEFT,4.32,7,151,145,268.2,31.9,302,41.9
16,1,LEFT,3,528,587,60,155.1,32.5,79.7,42.2,LEFT,2.47,614,798,185,77.1,33.05,51,42.6,DOWN,10.51,195,478,284,379,31.4,407.3,41.5
16,1,LEFT,4,614,798,185,77.1,33.05,51,42.6,RIGHT,2.18,926,988,63,147.7,32.55,65.3,42.3,RIGHT,2.47,528,587,60,155.1,32.5,79.7,42.2
16,1,LEFT,5,926,988,63,147.7,32.55,65.3,42.3,RIGHT,4.26,1022,1316,295,284.6,31.75,61.2,41.75,LEFT,2.18,614,798,185,77.1,33.05,51,42.6
16,1,LEFT,6,1022,1316,295,284.6,31.75,61.2,41.75,RIGHT,2.5,1340,1524,185,363.7,31.45,61.5,41.6,LEFT,4.26,926,988,63,147.7,32.55,65.3,42.3
16,1,LEFT,7,1340,1524,185,363.7,31.45,61.5,41.6,RIGHT,2.58,1550,1726,177,444.7,31.3,60.9,41.45,LEFT,2.5,1022,1316,295,284.6,31.75,61.2,41.75
16,1,LEFT,8,1550,1726,177,444.7,31.3,60.9,41.45,RIGHT,3.41,1759,2074,316,551.4,31.3,59.2,41.4,LEFT,2.58,1340,1524,185,363.7,31.45,61.5,41.6
16,1,LEFT,9,1759,2074,316,551.4,31.3,59.2,41.4,LEFT,4.68,2113,2377,265,405.2,31.35,45.4,41.5,LEFT,3.41,1550,1726,177,444.7,31.3,60.9,41.45
16,1,LEFT,10,2113,2377,265,405.2,31.35,45.4,41.5,RIGHT,0.88,2389,2487,99,431.8,31.3,55.2,41.5,RIGHT,4.68,1759,2074,316,551.4,31.3,59.2,41.4
