RECORDING_SESSION_LABEL,TRIAL_INDEX,EYE_USED,CURRENT_FIX_INDEX,CURRENT_FIX_START,CURRENT_FIX_END,CURRENT_FIX_DURATION,CURRENT_FIX_X,CURRENT_FIX_X_RESOLUTION,CURRENT_FIX_Y,CURRENT_FIX_Y_RESOLUTION,NEXT_FIX_DIRECTION,NEXT_FIX_DISTANCE,NEXT_FIX_START,NEXT_FIX_END,NEXT_FIX_DURATION,NEXT_FIX_X,NEXT_FIX_X_RESOLUTION,NEXT_FIX_Y,NEXT_FIX_Y_RESOLUTION,PREVIOUS_FIX_DIRECTION,PREVIOUS_FIX_DISTANCE,PREVIOUS_FIX_START,PREVIOUS_FIX_END,PREVIOUS_FIX_DURATION,PREVIOUS_FIX_X,PREVIOUS_FIX_X_RESOLUTION,PREVIOUS_FIX_Y,PREVIOUS_FIX_Y_RESOLUTION
10,1,RIGHT,1,7,337,331,448.6,31.3,213.2,41.4,LEFT,10.93,391,525,135,98.5,32.9,182.3,42.5,.,.,.,.,.,.,.,.,.
10,1,RIGHT,2,391,525,135,98.5,32.9,182.3,42.5,UP,3.15,556,692,137,90.2,33,48.7,42.55,RIGHT,10.93,7,337,331,448.6,31.3,213.2,41.4
10,1,RIGHT,3,556,692,137,90.2,33,48.7,42.55,RIGHT,2.84,717,854,138,182.6,32.35,39.9,42.15,DOWN,3.15,391,525,135,98.5,32.9,182.3,42.5
10,1,RIGHT,4,717,854,138,182.6,32.35,39.9,42.15,RIGHT,1.75,1463,1677,215,238.4,31.95,47.7,41.9,LEFT,2.84,556,692,137,90.2,33,48.7,42.55
10,1,RIGHT,5,1463,1677,215,238.4,31.95,47.7,41.9,LEFT,1.11,1694,1978,285,203,32.15,51.7,42,LEFT,1.75,717,854,138,182.6,32.35,39.9,42.15
10,1,RIGHT,6,1694,1978,285,203,32.15,51.7,42,RIGHT,2.49,2003,2205,203,282.5,31.7,48.7,41.8,RIGHT,1.11,1463,1677,215,238.4,31.95,47.7,41.9
10,1,RIGHT,7,2003,2205,203,282.5,31.7,48.7,41.8,RIGHT,0.65,2217,2334,118,302.7,31.7,44.1,41.7,LEFT,2.49,1694,1978,285,203,32.15,51.7,42
10,1,RIGHT,8,2217,2334,118,302.7,31.7,44.1,41.7,LEFT,4.35,2373,2500,128,163.1,32.45,43.8,42.2,LEFT,0.65,2003,2205,203,282.5,31.7,48.7,41.8
10,1,RIGHT,9,2373,2500,128,163.1,32.45,43.8,42.2,RIGHT,5.9,2592,2897,306,351.5,31.5,53,41.6,RIGHT,4.35,2217,2334,118,302.7,31.7,44.1,41.7
10,1,RIGHT,10,2592,2897,306,351.5,31.5,53,41.6,RIGHT,1.08,3085,3225,141,385.4,31.4,56,41.5,LEFT,5.9,2373,2500,128,163.1,32.45,43.8,42.2
10,1,RIGHT,11,3085,3225,141,385.4,31.4,56,41.5,RIGHT,1.86,3246,3560,315,443.4,31.3,64.5,41.45,LEFT,1.08,2592,2897,306,351.5,31.5,53,41.6
10,1,RIGHT,12,3246,3560,315,443.4,31.3,64.5,41.45,RIGHT,3.36,3596,3779,184,548.5,31.3,66.1,41.4,LEFT,1.86,3085,3225,141,385.4,31.4,56,41.5
10,1,RIGHT,13,3596,3779,184,548.5,31.3,66.1,41.4,LEFT,4.31,3818,3921,104,413.8,31.3,60.4,41.5,LEFT,3.36,3246,3560,315,443.4,31.3,64.5,41.45
10,1,RIGHT,14,3818,3921,104,413.8,31.3,60.4,41.5,RIGHT,5.95,3960,4168,209,599.9,31.3,66.7,41.5,RIGHT,4.31,3596,3779,184,548.5,31.3,66.1,41.4
