RECORDING_SESSION_LABEL,TRIAL_INDEX,EYE_USED,CURRENT_FIX_INDEX,CURRENT_FIX_START,CURRENT_FIX_END,CURRENT_FIX_DURATION,CURRENT_FIX_X,CURRENT_FIX_X_RESOLUTION,CURRENT_FIX_Y,CURRENT_FIX_Y_RESOLUTION,NEXT_FIX_DIRECTION,NEXT_FIX_DISTANCE,NEXT_FIX_START,NEXT_FIX_END,NEXT_FIX_DURATION,NEXT_FIX_X,NEXT_FIX_X_RESOLUTION,NEXT_FIX_Y,NEXT_FIX_Y_RESOLUTION,PREVIOUS_FIX_DIRECTION,PREVIOUS_FIX_DISTANCE,PREVIOUS_FIX_START,PREVIOUS_FIX_END,PREVIOUS_FIX_DURATION,PREVIOUS_FIX_X,PREVIOUS_FIX_X_RESOLUTION,PREVIOUS_FIX_Y,PREVIOUS_FIX_Y_RESOLUTION
3,1,RIGHT,1,7,359,353,297.8,31.7,142.9,41.7,LEFT,4.11,396,616,221,180.4,32.25,66,42.05,.,.,.,.,.,.,.,.,.
3,1,RIGHT,2,396,616,221,180.4,32.25,66,42.05,LEFT,1.9,638,949,312,126.6,32.7,26.4,42.4,RIGHT,4.11,7,359,353,297.8,31.7,142.9,41.7
3,1,RIGHT,3,638,949,312,126.6,32.7,26.4,42.4,.,0.5,1127,1200,74,142.8,32.55,25,42.3,RIGHT,1.9,396,616,221,180.4,32.25,66,42.05
3,1,RIGHT,4,1127,1200,74,142.8,32.55,25,42.3,LEFT,1.33,1351,1534,184,109.8,32.8,61.4,42.4,.,0.5,638,949,312,126.6,32.7,26.4,42.4
3,1,RIGHT,5,1351,1534,184,109.8,32.8,61.4,42.4,.,0.31,1671,1730,60,102.4,32.9,70.6,42.5,RIGHT,1.33,1127,1200,74,142.8,32.55,25,42.3
3,1,RIGHT,6,1671,1730,60,102.4,32.9,70.6,42.5,RIGHT,4.53,3789,3986,198,236.5,31.95,148.9,41.85,.,0.31,1351,1534,184,109.8,32.8,61.4,42.4
3,1,RIGHT,7,3789,3986,198,236.5,31.95,148.9,41.85,LEFT,4.12,4026,4277,252,129.4,32.7,45.7,42.4,LEFT,4.53,1671,1730,60,102.4,32.9,70.6,42.5
3,1,RIGHT,8,4026,4277,252,129.4,32.7,45.7,42.4,RIGHT,1.46,4298,4487,190,177,32.3,47,42.15,RIGHT,4.12,3789,3986,198,236.5,31.95,148.9,41.85
3,1,RIGHT,9,4298,4487,190,177,32.3,47,42.15,RIGHT,1.1,4506,4694,189,212.4,32.1,45.1,42,LEFT,1.46,4026,4277,252,129.4,32.7,45.7,42.4
3,1,RIGHT,10,4506,4694,189,212.4,32.1,45.1,42,RIGHT,1.33,4719,4874,156,254.6,31.9,38.4,41.9,LEFT,1.1,4298,4487,190,177,32.3,47,42.15
3,1,RIGHT,11,4719,4874,156,254.6,31.9,38.4,41.9,LEFT,4.52,4916,5077,162,108.4,32.85,48.5,42.5,LEFT,1.33,4506,4694,189,212.4,32.1,45.1,42
3,1,RIGHT,12,4916,5077,162,108.4,32.85,48.5,42.5,RIGHT,1.66,5099,5236,138,162,32.4,38.8,42.2,RIGHT,4.52,4719,4874,156,254.6,31.9,38.4,41.9
3,1,RIGHT,13,5099,5236,138,162,32.4,38.8,42.2,RIGHT,3.02,5265,5482,218,259.1,31.9,37.8,41.9,LEFT,1.66,4916,5077,162,108.4,32.85,48.5,42.5
3,1,RIGHT,14,5265,5482,218,259.1,31.9,37.8,41.9,RIGHT,2.45,5508,5687,180,336.7,31.55,39.8,41.65,LEFT,3.02,5099,5236,138,162,32.4,38.8,42.2
3,1,RIGHT,15,5508,5687,180,336.7,31.55,39.8,41.65,RIGHT,1.03,5705,5842,138,369.1,31.4,37.2,41.6,LEFT,2.45,5265,5482,218,259.1,31.9,37.8,41.9
3,1,RIGHT,16,5705,5842,138,369.1,31.4,37.2,41.6,LEFT,4.97,5883,6080,198,211.3,32.15,33,42.05,LEFT,1.03,5508,5687,180,336.7,31.55,39.8,41.65
3,1,RIGHT,17,5883,6080,198,211.3,32.15,33,42.05,LEFT,2.3,6113,6459,347,136.9,32.6,34.9,42.35,RIGHT,4.97,5705,5842,138,369.1,31.4,37.2,41.6
3,1,RIGHT,18,6113,6459,347,136.9,32.6,34.9,42.35,RIGHT,1.05,6561,6681,121,170.5,32.35,41.8,42.15,RIGHT,2.3,5883,6080,198,211.3,32.15,33,42.05
3,1,RIGHT,19,6561,6681,121,170.5,32.35,41.8,42.15,RIGHT,1.1,6700,6869,170,206.1,32.15,41,42,LEFT,1.05,6113,6459,347,136.9,32.6,34.9,42.35
3,1,RIGHT,20,6700,6869,170,206.1,32.15,41,42,RIGHT,0.97,6886,7005,120,237.1,32,44,41.9,LEFT,1.1,6561,6681,121,170.5,32.35,41.8,42.15
3,1,RIGHT,21,6886,7005,120,237.1,32,44,41.9,LEFT,3.21,7037,7342,306,133.4,32.65,43,42.4,LEFT,0.97,6700,6869,170,206.1,32.15,41,42
3,1,RIGHT,22,7037,7342,306,133.4,32.65,43,42.4,RIGHT,3.75,7378,7697,320,254.5,31.9,43.6,41.9,RIGHT,3.21,6886,7005,120,237.1,32,44,41.9
3,1,RIGHT,23,7378,7697,320,254.5,31.9,43.6,41.9,RIGHT,2.04,7721,7925,205,319.3,31.6,44.9,41.7,LEFT,3.75,7037,7342,306,133.4,32.65,43,42.4
3,1,RIGHT,24,7721,7925,205,319.3,31.6,44.9,41.7,RIGHT,1.04,7943,8309,367,352.2,31.5,46.7,41.6,LEFT,2.04,7378,7697,320,254.5,31.9,43.6,41.9
3,1,RIGHT,25,7943,8309,367,352.2,31.5,46.7,41.6,RIGHT,1.51,8326,8538,213,399.8,31.4,46.6,41.5,LEFT,1.04,7721,7925,205,319.3,31.6,44.9,41.7
3,1,RIGHT,26,8326,8538,213,399.8,31.4,46.6,41.5,RIGHT,1.66,8559,8735,177,451.6,31.3,42.3,41.5,LEFT,1.51,7943,8309,367,352.2,31.5,46.7,41.6
3,1,RIGHT,27,8559,8735,177,451.6,31.3,42.3,41.5,RIGHT,1.21,8752,8911,160,489.5,31.3,39.8,41.5,LEFT,1.66,8326,8538,213,399.8,31.4,46.6,41.5
3,1,RIGHT,28,8752,8911,160,489.5,31.3,39.8,41.5,RIGHT,2.62,8934,9192,259,571.1,31.3,49.9,41.45,LEFT,1.21,8559,8735,177,451.6,31.3,42.3,41.5
3,1,RIGHT,29,8934,9192,259,571.1,31.3,49.9,41.45,LEFT,0.95,9210,9426,217,541.6,31.3,46.1,41.4,LEFT,2.62,8752,8911,160,489.5,31.3,39.8,41.5
3,1,RIGHT,30,9210,9426,217,541.6,31.3,46.1,41.4,RIGHT,2.16,9452,9574,123,608.8,31.3,57.1,41.5,RIGHT,0.95,8934,9192,259,571.1,31.3,49.9,41.45
3,1,RIGHT,31,9452,9574,123,608.8,31.3,57.1,41.5,RIGHT,0.73,9674,10157,484,631.5,31.4,52.4,41.5,LEFT,2.16,9210,9426,217,541.6,31.3,46.1,41.4
3,1,RIGHT,32,9674,10157,484,631.5,31.4,52.4,41.5,RIGHT,0.99,10168,10400,233,662.5,31.5,56.1,41.6,LEFT,0.73,9452,9574,123,608.8,31.3,57.1,41.5
3,1,RIGHT,33,10168,10400,233,662.5,31.5,56.1,41.6,RIGHT,1.8,10421,10609,189,719.1,31.65,64.2,41.7,LEFT,0.99,9674,10157,484,631.5,31.4,52.4,41.5
3,1,RIGHT,34,10421,10609,189,719.1,31.65,64.2,41.7,RIGHT,0.52,10621,11043,423,735.1,31.7,68.6,41.7,LEFT,1.8,10168,10400,233,662.5,31.5,56.1,41.6
3,1,RIGHT,35,10621,11043,423,735.1,31.7,68.6,41.7,RIGHT,1.33,11061,11544,484,777.3,31.95,73.5,41.9,LEFT,0.52,10421,10609,189,719.1,31.65,64.2,41.7
3,1,RIGHT,36,11061,11544,484,777.3,31.95,73.5,41.9,RIGHT,1.12,11558,11770,213,813.2,32.1,76.5,42,LEFT,1.33,10621,11043,423,735.1,31.7,68.6,41.7
3,1,RIGHT,37,11558,11770,213,813.2,32.1,76.5,42,RIGHT,1.01,11785,11951,167,845.6,32.3,71,42.1,LEFT,1.12,11061,11544,484,777.3,31.95,73.5,41.9
3,1,RIGHT,38,11785,11951,167,845.6,32.3,71,42.1,RIGHT,1.77,11973,12137,165,899.1,32.7,43.7,42.4,LEFT,1.01,11558,11770,213,813.2,32.1,76.5,42
