RECORDING_SESSION_LABEL,TRIAL_INDEX,EYE_USED,CURRENT_FIX_INDEX,CURRENT_FIX_START,CURRENT_FIX_END,CURRENT_FIX_DURATION,CURRENT_FIX_X,CURRENT_FIX_X_RESOLUTION,CURRENT_FIX_Y,CURRENT_FIX_Y_RESOLUTION,NEXT_FIX_DIRECTION,NEXT_FIX_DISTANCE,NEXT_FIX_START,NEXT_FIX_END,NEXT_FIX_DURATION,NEXT_FIX_X,NEXT_FIX_X_RESOLUTION,NEXT_FIX_Y,NEXT_FIX_Y_RESOLUTION,PREVIOUS_FIX_DIRECTION,PREVIOUS_FIX_DISTANCE,PREVIOUS_FIX_START,PREVIOUS_FIX_END,PREVIOUS_FIX_DURATION,PREVIOUS_FIX_X,PREVIOUS_FIX_X_RESOLUTION,PREVIOUS_FIX_Y,PREVIOUS_FIX_Y_RESOLUTION
11,1,RIGHT,1,7,359,353,275.8,31.8,209.7,41.8,LEFT,5.6,403,543,141,147.8,32.5,44,42.3,.,.,.,.,.,.,.,.,.
11,1,RIGHT,2,403,543,141,147.8,32.5,44,42.3,LEFT,1.21,562,737,176,108.8,32.85,36.5,42.5,RIGHT,5.6,7,359,353,275.8,31.8,209.7,41.8
11,1,RIGHT,3,562,737,176,108.8,32.85,36.5,42.5,RIGHT,3.01,837,1011,175,206.6,32.15,32.3,42.05,RIGHT,1.21,403,543,141,147.8,32.5,44,42.3
11,1,RIGHT,4,837,1011,175,206.6,32.15,32.3,42.05,LEFT,0.62,1028,1464,437,186.7,32.3,35.6,42.15,LEFT,3.01,562,737,176,108.8,32.85,36.5,42.5
11,1,RIGHT,5,1028,1464,437,186.7,32.3,35.6,42.15,RIGHT,1.76,1487,1726,240,243,31.9,39.7,41.9,RIGHT,0.62,837,1011,175,206.6,32.15,32.3,42.05
11,1,RIGHT,6,1487,1726,240,243,31.9,39.7,41.9,RIGHT,2.74,1756,1997,242,329.9,31.55,44.3,41.6,LEFT,1.76,1028,1464,437,186.7,32.3,35.6,42.15
11,1,RIGHT,7,1756,1997,242,329.9,31.55,44.3,41.6,LEFT,1.56,2019,2200,182,280.5,31.75,47.7,41.8,LEFT,2.74,1487,1726,240,243,31.9,39.7,41.9
11,1,RIGHT,8,2019,2200,182,280.5,31.75,47.7,41.8,.,0.5,2219,2721,503,280.5,31.8,68.4,41.8,RIGHT,1.56,1756,1997,242,329.9,31.55,44.3,41.6
11,1,RIGHT,9,2219,2721,503,280.5,31.8,68.4,41.8,RIGHT,0.92,2736,2986,251,309.5,31.6,63,41.7,.,0.5,2019,2200,182,280.5,31.75,47.7,41.8
11,1,RIGHT,10,2736,2986,251,309.5,31.6,63,41.7,.,0.44,2997,3228,232,323.2,31.6,65.3,41.6,LEFT,0.92,2219,2721,503,280.5,31.8,68.4,41.8
11,1,RIGHT,11,2997,3228,232,323.2,31.6,65.3,41.6,LEFT,0.54,3236,3740,505,306.2,31.65,66.6,41.7,.,0.44,2736,2986,251,309.5,31.6,63,41.7
11,1,RIGHT,12,3236,3740,505,306.2,31.65,66.6,41.7,RIGHT,2.34,3766,4016,251,380,31.4,66.2,41.5,RIGHT,0.54,2997,3228,232,323.2,31.6,65.3,41.6
11,1,RIGHT,13,3766,4016,251,380,31.4,66.2,41.5,RIGHT,1.91,4041,4386,346,439.8,31.3,60.9,41.5,LEFT,2.34,3236,3740,505,306.2,31.65,66.6,41.7
11,1,RIGHT,14,4041,4386,346,439.8,31.3,60.9,41.5,RIGHT,0.58,4397,4548,152,457.9,31.3,60.7,41.4,LEFT,1.91,3766,4016,251,380,31.4,66.2,41.5
11,1,RIGHT,15,4397,4548,152,457.9,31.3,60.7,41.4,.,0.45,4720,4931,212,471.7,31.3,65.3,41.4,LEFT,0.58,4041,4386,346,439.8,31.3,60.9,41.5
11,1,RIGHT,16,4720,4931,212,471.7,31.3,65.3,41.4,RIGHT,1.52,4954,5218,265,519.3,31.2,65.3,41.4,.,0.45,4397,4548,152,457.9,31.3,60.7,41.4
11,1,RIGHT,17,4954,5218,265,519.3,31.2,65.3,41.4,RIGHT,0.78,5233,5414,182,543.7,31.3,67.3,41.4,LEFT,1.52,4720,4931,212,471.7,31.3,65.3,41.4
11,1,RIGHT,18,5233,5414,182,543.7,31.3,67.3,41.4,RIGHT,1.71,5436,5659,224,597.1,31.3,69.8,41.5,LEFT,0.78,4954,5218,265,519.3,31.2,65.3,41.4
11,1,RIGHT,19,5436,5659,224,597.1,31.3,69.8,41.5,RIGHT,2.21,5683,5861,179,666.6,31.5,72.3,41.6,LEFT,1.71,5233,5414,182,543.7,31.3,67.3,41.4
11,1,RIGHT,20,5683,5861,179,666.6,31.5,72.3,41.6,RIGHT,1.32,5881,6207,327,708.1,31.6,72.4,41.7,LEFT,2.21,5436,5659,224,597.1,31.3,69.8,41.5
11,1,RIGHT,21,5881,6207,327,708.1,31.6,72.4,41.7,RIGHT,1.77,6230,6465,236,764.4,31.9,69.7,41.8,LEFT,1.32,5683,5861,179,666.6,31.5,72.3,41.6
11,1,RIGHT,22,6230,6465,236,764.4,31.9,69.7,41.8,RIGHT,1.09,6482,6692,211,799.2,32.05,69,41.95,LEFT,1.77,5881,6207,327,708.1,31.6,72.4,41.7
11,1,RIGHT,23,6482,6692,211,799.2,32.05,69,41.95,LEFT,2.81,6718,7062,345,709.9,31.6,72.6,41.7,LEFT,1.09,6230,6465,236,764.4,31.9,69.7,41.8
11,1,RIGHT,24,6718,7062,345,709.9,31.6,72.6,41.7,LEFT,0.69,7077,7233,157,688.2,31.5,71.7,41.6,RIGHT,2.81,6482,6692,211,799.2,32.05,69,41.95
11,1,RIGHT,25,7077,7233,157,688.2,31.5,71.7,41.6,RIGHT,2.75,7365,7687,323,775.5,31.9,68.8,41.85,RIGHT,0.69,6718,7062,345,709.9,31.6,72.6,41.7
11,1,RIGHT,26,7365,7687,323,775.5,31.9,68.8,41.85,RIGHT,0.71,7699,7912,214,798,32,71.6,41.9,LEFT,2.75,7077,7233,157,688.2,31.5,71.7,41.6
11,1,RIGHT,27,7699,7912,214,798,32,71.6,41.9,.,0.4,7919,8191,273,785.1,32,72.3,41.9,LEFT,0.71,7365,7687,323,775.5,31.9,68.8,41.85
11,1,RIGHT,28,7919,8191,273,785.1,32,72.3,41.9,RIGHT,0.9,8207,8547,341,813.5,32.1,66.3,42,.,0.4,7699,7912,214,798,32,71.6,41.9
11,1,RIGHT,29,8207,8547,341,813.5,32.1,66.3,42,LEFT,0.9,8562,8925,364,784.8,32,71,41.9,LEFT,0.9,7919,8191,273,785.1,32,72.3,41.9
11,1,RIGHT,30,8562,8925,364,784.8,32,71,41.9,RIGHT,1.55,8949,9161,213,834.4,32.25,67.1,42.1,RIGHT,0.9,8207,8547,341,813.5,32.1,66.3,42
11,1,RIGHT,31,8949,9161,213,834.4,32.25,67.1,42.1,.,0.46,9170,9374,205,820.2,32.2,71.9,42,LEFT,1.55,8562,8925,364,784.8,32,71,41.9
11,1,RIGHT,32,9170,9374,205,820.2,32.2,71.9,42,RIGHT,0.91,9388,9609,222,849.4,32.4,70,42.1,.,0.46,8949,9161,213,834.4,32.25,67.1,42.1
11,1,RIGHT,33,9388,9609,222,849.4,32.4,70,42.1,RIGHT,0.81,9624,9800,177,875.5,32.55,66.6,42.25,LEFT,0.91,9170,9374,205,820.2,32.2,71.9,42
11,1,RIGHT,34,9624,9800,177,875.5,32.55,66.6,42.25,RIGHT,1.18,9817,10013,197,914.1,32.8,69.2,42.4,LEFT,0.81,9388,9609,222,849.4,32.4,70,42.1
11,1,RIGHT,35,9817,10013,197,914.1,32.8,69.2,42.4,RIGHT,0.85,10029,10114,86,940.1,33.05,82.9,42.55,LEFT,1.18,9624,9800,177,875.5,32.55,66.6,42.25
11,1,RIGHT,36,10029,10114,86,940.1,33.05,82.9,42.55,LEFT,24.3,10229,10350,122,142.5,32.6,92.7,42.3,LEFT,0.85,9817,10013,197,914.1,32.8,69.2,42.4
11,1,RIGHT,37,10229,10350,122,142.5,32.6,92.7,42.3,LEFT,1.82,10372,10647,276,85.2,33,114.6,42.5,RIGHT,24.3,10029,10114,86,940.1,33.05,82.9,42.55
11,1,RIGHT,38,10372,10647,276,85.2,33,114.6,42.5,.,0.47,10656,10784,129,100.1,32.85,120.3,42.45,RIGHT,1.82,10229,10350,122,142.5,32.6,92.7,42.3
11,1,RIGHT,39,10656,10784,129,100.1,32.85,120.3,42.45,RIGHT,2.32,11409,11830,422,174.9,32.25,106.8,42.05,.,0.47,10372,10647,276,85.2,33,114.6,42.5
11,1,RIGHT,40,11409,11830,422,174.9,32.25,106.8,42.05,RIGHT,2.29,11910,12298,389,248.1,32,115,41.9,LEFT,2.32,10656,10784,129,100.1,32.85,120.3,42.45
11,1,RIGHT,41,11910,12298,389,248.1,32,115,41.9,RIGHT,2.3,12326,12599,274,321.3,31.6,112.6,41.6,LEFT,2.29,11409,11830,422,174.9,32.25,106.8,42.05
11,1,RIGHT,42,12326,12599,274,321.3,31.6,112.6,41.6,RIGHT,3.9,12634,12824,191,444.1,31.3,113.3,41.4,LEFT,2.3,11910,12298,389,248.1,32,115,41.9
11,1,RIGHT,43,12634,12824,191,444.1,31.3,113.3,41.4,LEFT,1.05,12841,13098,258,411.6,31.3,107.1,41.4,LEFT,3.9,12326,12599,274,321.3,31.6,112.6,41.6
11,1,RIGHT,44,12841,13098,258,411.6,31.3,107.1,41.4,RIGHT,4.48,13136,13284,149,551.2,31.2,118.2,41.4,RIGHT,1.05,12634,12824,191,444.1,31.3,113.3,41.4
11,1,RIGHT,45,13136,13284,149,551.2,31.2,118.2,41.4,RIGHT,1.2,13410,13620,211,588.4,31.3,110.8,41.4,LEFT,4.48,12841,13098,258,411.6,31.3,107.1,41.4
11,1,RIGHT,46,13410,13620,211,588.4,31.3,110.8,41.4,LEFT,1.78,13643,13800,158,532.9,31.2,117.4,41.4,LEFT,1.2,13136,13284,149,551.2,31.2,118.2,41.4
