RECORDING_SESSION_LABEL,TRIAL_INDEX,EYE_USED,CURRENT_FIX_INDEX,CURRENT_FIX_START,CURRENT_FIX_END,CURRENT_FIX_DURATION,CURRENT_FIX_X,CURRENT_FIX_X_RESOLUTION,CURRENT_FIX_Y,CURRENT_FIX_Y_RESOLUTION,NEXT_FIX_DIRECTION,NEXT_FIX_DISTANCE,NEXT_FIX_START,NEXT_FIX_END,NEXT_FIX_DURATION,NEXT_FIX_X,NEXT_FIX_X_RESOLUTION,NEXT_FIX_Y,NEXT_FIX_Y_RESOLUTION,PREVIOUS_FIX_DIRECTION,PREVIOUS_FIX_DISTANCE,PREVIOUS_FIX_START,PREVIOUS_FIX_END,PREVIOUS_FIX_DURATION,PREVIOUS_FIX_X,PREVIOUS_FIX_X_RESOLUTION,PREVIOUS_FIX_Y,PREVIOUS_FIX_Y_RESOLUTION
14,1,RIGHT,1,385,516,132,431.6,31.3,186.3,41.45,LEFT,8.25,562,661,100,184,32.35,71,42.15,.,.,.,.,.,.,.,.,.
14,1,RIGHT,2,562,661,100,184,32.35,71,42.15,LEFT,2.22,689,883,195,111.7,32.85,71.4,42.45,RIGHT,8.25,385,516,132,431.6,31.3,186.3,41.45
14,1,RIGHT,3,689,883,195,111.7,32.85,71.4,42.45,RIGHT,2.38,906,1208,303,188,32.25,88,42.05,RIGHT,2.22,562,661,100,184,32.35,71,42.15
14,1,RIGHT,4,906,1208,303,188,32.25,88,42.05,RIGHT,1.66,1232,1460,229,241.1,31.9,92.2,41.8,LEFT,2.38,689,883,195,111.7,32.85,71.4,42.45
14,1,RIGHT,5,1232,1460,229,241.1,31.9,92.2,41.8,RIGHT,1.48,1481,1742,262,288.2,31.7,91.3,41.7,LEFT,1.66,906,1208,303,188,32.25,88,42.05
14,1,RIGHT,6,1481,1742,262,288.2,31.7,91.3,41.7,RIGHT,1.6,1761,2133,373,338.6,31.5,90.3,41.6,LEFT,1.48,1232,1460,229,241.1,31.9,92.2,41.8
14,1,RIGHT,7,1761,2133,373,338.6,31.5,90.3,41.6,RIGHT,2.16,2153,2384,232,406.3,31.35,84.4,41.5,LEFT,1.6,1481,1742,262,288.2,31.7,91.3,41.7
14,1,RIGHT,8,2153,2384,232,406.3,31.35,84.4,41.5,LEFT,2.05,2412,2958,547,342,31.5,90.5,41.6,LEFT,2.16,1761,2133,373,338.6,31.5,90.3,41.6
14,1,RIGHT,9,2412,2958,547,342,31.5,90.5,41.6,RIGHT,2.45,2985,3313,329,418.6,31.3,80.5,41.5,RIGHT,2.05,2153,2384,232,406.3,31.35,84.4,41.5
14,1,RIGHT,10,2985,3313,329,418.6,31.3,80.5,41.5,RIGHT,2.11,3338,3635,298,484.4,31.2,80,41.4,LEFT,2.45,2412,2958,547,342,31.5,90.5,41.6
14,1,RIGHT,11,3338,3635,298,484.4,31.2,80,41.4,.,0.42,3777,3940,164,497,31.2,75.7,41.4,LEFT,2.11,2985,3313,329,418.6,31.3,80.5,41.5
14,1,RIGHT,12,3777,3940,164,497,31.2,75.7,41.4,.,0.41,3947,4137,191,484.3,31.2,77.5,41.4,.,0.42,3338,3635,298,484.4,31.2,80,41.4
14,1,RIGHT,13,3947,4137,191,484.3,31.2,77.5,41.4,RIGHT,3.33,4168,4327,160,588.3,31.3,70,41.4,.,0.41,3777,3940,164,497,31.2,75.7,41.4
14,1,RIGHT,14,4168,4327,160,588.3,31.3,70,41.4,RIGHT,1.13,4492,4661,170,623.7,31.4,65.8,41.5,LEFT,3.33,3947,4137,191,484.3,31.2,77.5,41.4
14,1,RIGHT,15,4492,4661,170,623.7,31.4,65.8,41.5,LEFT,1.11,4680,5079,400,589,31.3,65.8,41.45,LEFT,1.13,4168,4327,160,588.3,31.3,70,41.4
14,1,RIGHT,16,4680,5079,400,589,31.3,65.8,41.45,RIGHT,0.68,5096,5306,211,609.7,31.35,73.1,41.5,RIGHT,1.11,4492,4661,170,623.7,31.4,65.8,41.5
14,1,RIGHT,17,5096,5306,211,609.7,31.35,73.1,41.5,RIGHT,4.04,5339,5751,413,736.6,31.7,85.2,41.7,LEFT,0.68,4680,5079,400,589,31.3,65.8,41.45
14,1,RIGHT,18,5339,5751,413,736.6,31.7,85.2,41.7,LEFT,0.66,5764,5970,207,716.3,31.6,90.9,41.7,LEFT,4.04,5096,5306,211,609.7,31.35,73.1,41.5
14,1,RIGHT,19,5764,5970,207,716.3,31.6,90.9,41.7,RIGHT,2.62,5999,6261,263,799.5,32.1,100,41.95,RIGHT,0.66,5339,5751,413,736.6,31.7,85.2,41.7
14,1,RIGHT,20,5999,6261,263,799.5,32.1,100,41.95,RIGHT,1.19,6283,6359,77,837.7,32.3,105.6,42.1,LEFT,2.62,5764,5970,207,716.3,31.6,90.9,41.7
14,1,RIGHT,21,6283,6359,77,837.7,32.3,105.6,42.1,LEFT,3,6387,6693,307,741.9,31.7,94.8,41.7,LEFT,1.19,5999,6261,263,799.5,32.1,100,41.95
14,1,RIGHT,22,6387,6693,307,741.9,31.7,94.8,41.7,LEFT,0.7,6704,6852,149,721,31.7,84.9,41.7,RIGHT,3,6283,6359,77,837.7,32.3,105.6,42.1
14,1,RIGHT,23,6704,6852,149,721,31.7,84.9,41.7,LEFT,0.86,6864,7082,219,693.7,31.6,83.1,41.6,RIGHT,0.7,6387,6693,307,741.9,31.7,94.8,41.7
14,1,RIGHT,24,6864,7082,219,693.7,31.6,83.1,41.6,RIGHT,3.23,7115,7194,80,796.4,32.1,87.4,41.95,RIGHT,0.86,6704,6852,149,721,31.7,84.9,41.7
14,1,RIGHT,25,7115,7194,80,796.4,32.1,87.4,41.95,LEFT,19.87,7334,7518,185,154.2,32.55,84.2,42.3,LEFT,3.23,6864,7082,219,693.7,31.6,83.1,41.6
14,1,RIGHT,26,7334,7518,185,154.2,32.55,84.2,42.3,RIGHT,1.19,7538,7809,272,192.7,32.3,83.2,42.1,RIGHT,19.87,7115,7194,80,796.4,32.1,87.4,41.95
14,1,RIGHT,27,7538,7809,272,192.7,32.3,83.2,42.1,RIGHT,2.06,7833,7982,150,258.7,31.9,82.3,41.8,LEFT,1.19,7334,7518,185,154.2,32.55,84.2,42.3
14,1,RIGHT,28,7833,7982,150,258.7,31.9,82.3,41.8,RIGHT,2.58,8008,8262,255,340.6,31.55,84.8,41.6,LEFT,2.06,7538,7809,272,192.7,32.3,83.2,42.1
14,1,RIGHT,29,8008,8262,255,340.6,31.55,84.8,41.6,RIGHT,2.1,8287,8628,342,406.4,31.3,80.9,41.5,LEFT,2.58,7833,7982,150,258.7,31.9,82.3,41.8
14,1,RIGHT,30,8287,8628,342,406.4,31.3,80.9,41.5,RIGHT,2.21,8656,8974,319,475.4,31.2,84.7,41.4,LEFT,2.1,8008,8262,255,340.6,31.55,84.8,41.6
14,1,RIGHT,31,8656,8974,319,475.4,31.2,84.7,41.4,RIGHT,4.02,9005,9408,404,600.8,31.3,72.9,41.45,LEFT,2.21,8287,8628,342,406.4,31.3,80.9,41.5
14,1,RIGHT,32,9005,9408,404,600.8,31.3,72.9,41.45,LEFT,0.69,9416,9589,174,579.3,31.3,70,41.4,LEFT,4.02,8656,8974,319,475.4,31.2,84.7,41.4
14,1,RIGHT,33,9416,9589,174,579.3,31.3,70,41.4,RIGHT,4.49,9623,9917,295,720.6,31.7,75.1,41.7,RIGHT,0.69,9005,9408,404,600.8,31.3,72.9,41.45
14,1,RIGHT,34,9623,9917,295,720.6,31.7,75.1,41.7,RIGHT,2.4,9945,10371,427,796.8,32.05,81.7,41.9,LEFT,4.49,9416,9589,174,579.3,31.3,70,41.4
14,1,RIGHT,35,9945,10371,427,796.8,32.05,81.7,41.9,RIGHT,2.19,10395,10568,174,867.2,32.45,90.4,42.2,LEFT,2.4,9623,9917,295,720.6,31.7,75.1,41.7
14,1,RIGHT,36,10395,10568,174,867.2,32.45,90.4,42.2,RIGHT,1.45,10587,10901,315,914.4,32.9,93.5,42.5,LEFT,2.19,9945,10371,427,796.8,32.05,81.7,41.9
14,1,RIGHT,37,10587,10901,315,914.4,32.9,93.5,42.5,RIGHT,1.12,10921,11112,192,951.1,33.15,100.6,42.65,LEFT,1.45,10395,10568,174,867.2,32.45,90.4,42.2
14,1,RIGHT,38,10921,11112,192,951.1,33.15,100.6,42.65,LEFT,2.06,11138,11375,238,883.7,32.6,90.2,42.3,LEFT,1.12,10587,10901,315,914.4,32.9,93.5,42.5
14,1,RIGHT,39,11138,11375,238,883.7,32.6,90.2,42.3,RIGHT,2.76,11403,11587,185,974.7,33.4,95.4,42.8,RIGHT,2.06,10921,11112,192,951.1,33.15,100.6,42.65
14,1,RIGHT,40,11403,11587,185,974.7,33.4,95.4,42.8,LEFT,26.24,11751,12037,287,104.9,32.95,141,42.45,LEFT,2.76,11138,11375,238,883.7,32.6,90.2,42.3
14,1,RIGHT,41,11751,12037,287,104.9,32.95,141,42.45,RIGHT,1.74,12061,12395,335,160.9,32.5,128.3,42.2,RIGHT,26.24,11403,11587,185,974.7,33.4,95.4,42.8
14,1,RIGHT,42,12061,12395,335,160.9,32.5,128.3,42.2,LEFT,0.85,12413,12668,256,133.8,32.65,135.2,42.3,LEFT,1.74,11751,12037,287,104.9,32.95,141,42.45
14,1,RIGHT,43,12413,12668,256,133.8,32.65,135.2,42.3,RIGHT,4.34,12701,12970,270,273.5,31.8,123.5,41.8,RIGHT,0.85,12061,12395,335,160.9,32.5,128.3,42.2
14,1,RIGHT,44,12701,12970,270,273.5,31.8,123.5,41.8,RIGHT,2.07,12995,13123,129,338.9,31.5,122.4,41.6,LEFT,4.34,12413,12668,256,133.8,32.65,135.2,42.3
14,1,RIGHT,45,12995,13123,129,338.9,31.5,122.4,41.6,LEFT,4.64,13160,13429,270,193.1,32.3,89.6,42.1,LEFT,2.07,12701,12970,270,273.5,31.8,123.5,41.8
14,1,RIGHT,46,13160,13429,270,193.1,32.3,89.6,42.1,RIGHT,1.25,13451,13595,145,233.2,32,89.4,41.9,RIGHT,4.64,12995,13123,129,338.9,31.5,122.4,41.6
14,1,RIGHT,47,13451,13595,145,233.2,32,89.4,41.9,DOWN,1.5,13617,13769,153,265.4,31.85,135.8,41.8,LEFT,1.25,13160,13429,270,193.1,32.3,89.6,42.1
14,1,RIGHT,48,13617,13769,153,265.4,31.85,135.8,41.8,RIGHT,1.71,13910,14031,122,318,31.6,118,41.65,UP,1.5,13451,13595,145,233.2,32,89.4,41.9
14,1,RIGHT,49,13910,14031,122,318,31.6,118,41.65,RIGHT,4.78,14890,14978,89,467.9,31.2,111.3,41.4,LEFT,1.71,13617,13769,153,265.4,31.85,135.8,41.8
14,1,RIGHT,50,14890,14978,89,467.9,31.2,111.3,41.4,RIGHT,1.25,15161,15290,130,506.8,31.2,112.8,41.4,LEFT,4.78,13910,14031,122,318,31.6,118,41.65
14,1,RIGHT,51,15161,15290,130,506.8,31.2,112.8,41.4,RIGHT,3.64,15935,16129,195,620.1,31.4,129.6,41.5,LEFT,1.25,14890,14978,89,467.9,31.2,111.3,41.4
14,1,RIGHT,52,15935,16129,195,620.1,31.4,129.6,41.5,LEFT,0.76,16141,16258,118,596.2,31.3,129.7,41.4,LEFT,3.64,15161,15290,130,506.8,31.2,112.8,41.4
14,1,RIGHT,53,16141,16258,118,596.2,31.3,129.7,41.4,RIGHT,3.21,16288,16392,105,697.3,31.6,131.2,41.6,RIGHT,0.76,15935,16129,195,620.1,31.4,129.6,41.5
14,1,RIGHT,54,16288,16392,105,697.3,31.6,131.2,41.6,.,0.5,16595,16657,63,713,31.6,133.2,41.6,LEFT,3.21,16141,16258,118,596.2,31.3,129.7,41.4
14,1,RIGHT,55,16595,16657,63,713,31.6,133.2,41.6,RIGHT,3.47,16923,17252,330,823.7,32.15,129.7,42,.,0.5,16288,16392,105,697.3,31.6,131.2,41.6
14,1,RIGHT,56,16923,17252,330,823.7,32.15,129.7,42,RIGHT,2.71,17876,18022,147,911.3,32.8,142.3,42.4,LEFT,3.47,16595,16657,63,713,31.6,133.2,41.6
14,1,RIGHT,57,17876,18022,147,911.3,32.8,142.3,42.4,RIGHT,2.07,18044,18295,252,979.1,33.3,155.2,42.7,LEFT,2.71,16923,17252,330,823.7,32.15,129.7,42
14,1,RIGHT,58,18044,18295,252,979.1,33.3,155.2,42.7,LEFT,25.9,18381,18702,322,123,32.85,190.9,42.45,LEFT,2.07,17876,18022,147,911.3,32.8,142.3,42.4
14,1,RIGHT,59,18381,18702,322,123,32.85,190.9,42.45,RIGHT,1.71,18724,18932,209,178.2,32.4,179.5,42.2,RIGHT,25.9,18044,18295,252,979.1,33.3,155.2,42.7
14,1,RIGHT,60,18724,18932,209,178.2,32.4,179.5,42.2,RIGHT,2.77,18961,19030,70,267,31.8,171.1,41.8,LEFT,1.71,18381,18702,322,123,32.85,190.9,42.45
14,1,RIGHT,61,18961,19030,70,267,31.8,171.1,41.8,LEFT,1.04,19197,19418,222,233.9,32,172,41.9,LEFT,2.77,18724,18932,209,178.2,32.4,179.5,42.2
14,1,RIGHT,62,19197,19418,222,233.9,32,172,41.9,RIGHT,6.25,20965,21460,496,431.4,31.3,159.5,41.4,RIGHT,1.04,18961,19030,70,267,31.8,171.1,41.8
14,1,RIGHT,63,20965,21460,496,431.4,31.3,159.5,41.4,LEFT,4.85,22383,22697,315,278.6,31.7,163.1,41.7,LEFT,6.25,19197,19418,222,233.9,32,172,41.9
14,1,RIGHT,64,22383,22697,315,278.6,31.7,163.1,41.7,LEFT,0.84,23280,23384,105,252.5,31.9,170,41.8,RIGHT,4.85,20965,21460,496,431.4,31.3,159.5,41.4
14,1,RIGHT,65,23280,23384,105,252.5,31.9,170,41.8,RIGHT,4.55,23417,23618,202,396.5,31.4,170.2,41.5,RIGHT,0.84,22383,22697,315,278.6,31.7,163.1,41.7
14,1,RIGHT,66,23417,23618,202,396.5,31.4,170.2,41.5,RIGHT,2.08,23643,23795,153,461.6,31.25,167.8,41.4,LEFT,4.55,23280,23384,105,252.5,31.9,170,41.8
14,1,RIGHT,67,23643,23795,153,461.6,31.25,167.8,41.4,RIGHT,4.77,23833,23993,161,610.6,31.3,178.8,41.5,LEFT,2.08,23417,23618,202,396.5,31.4,170.2,41.5
14,1,RIGHT,68,23833,23993,161,610.6,31.3,178.8,41.5,RIGHT,0.83,24151,24281,131,636.4,31.4,175.7,41.5,LEFT,4.77,23643,23795,153,461.6,31.25,167.8,41.4
14,1,RIGHT,69,24151,24281,131,636.4,31.4,175.7,41.5,RIGHT,2.81,24308,24496,189,724.8,31.65,182.5,41.7,LEFT,0.83,23833,23993,161,610.6,31.3,178.8,41.5
14,1,RIGHT,70,24308,24496,189,724.8,31.65,182.5,41.7,RIGHT,1.81,24523,24754,232,782.5,31.95,182.3,41.85,LEFT,2.81,24151,24281,131,636.4,31.4,175.7,41.5
14,1,RIGHT,71,24523,24754,232,782.5,31.95,182.3,41.85,RIGHT,2.27,24780,24954,175,855.4,32.3,176.8,42.1,LEFT,1.81,24308,24496,189,724.8,31.65,182.5,41.7
14,1,RIGHT,72,24780,24954,175,855.4,32.3,176.8,42.1,RIGHT,0.6,24965,25136,172,874.6,32.45,180.5,42.2,LEFT,2.27,24523,24754,232,782.5,31.95,182.3,41.85
14,1,RIGHT,73,24965,25136,172,874.6,32.45,180.5,42.2,LEFT,1.42,25156,25428,273,828.7,32.1,178.8,42,LEFT,0.6,24780,24954,175,855.4,32.3,176.8,42.1
14,1,RIGHT,74,25156,25428,273,828.7,32.1,178.8,42,LEFT,7.66,25483,25602,120,585.8,31.3,180,41.4,RIGHT,1.42,24965,25136,172,874.6,32.45,180.5,42.2
14,1,RIGHT,75,25483,25602,120,585.8,31.3,180,41.4,RIGHT,0.79,25788,25918,131,610.6,31.3,181.8,41.45,RIGHT,7.66,25156,25428,273,828.7,32.1,178.8,42
14,1,RIGHT,76,25788,25918,131,610.6,31.3,181.8,41.45,RIGHT,2.2,26126,26238,113,679,31.5,195.1,41.6,LEFT,0.79,25483,25602,120,585.8,31.3,180,41.4
14,1,RIGHT,77,26126,26238,113,679,31.5,195.1,41.6,LEFT,2.53,26266,26572,307,599.6,31.3,191.5,41.4,LEFT,2.2,25788,25918,131,610.6,31.3,181.8,41.45
14,1,RIGHT,78,26266,26572,307,599.6,31.3,191.5,41.4,RIGHT,2.15,26598,26678,81,667,31.5,189.6,41.5,RIGHT,2.53,26126,26238,113,679,31.5,195.1,41.6
14,1,RIGHT,79,26598,26678,81,667,31.5,189.6,41.5,RIGHT,2.47,26849,26946,98,744.8,31.75,180.1,41.7,LEFT,2.15,26266,26572,307,599.6,31.3,191.5,41.4
14,1,RIGHT,80,26849,26946,98,744.8,31.75,180.1,41.7,RIGHT,2.75,27096,27361,266,832.8,32.2,178.8,42,LEFT,2.47,26598,26678,81,667,31.5,189.6,41.5
